0	 0	 1 C#:min
4.884000e+00	 4.884000e+00	 2 E :maj
9.768000e+00	 9.768000e+00	 3 A :maj
1.221000e+01	 1.221000e+01	 3 D :maj
1.465200e+01	 1.465200e+01	 4 G#:7
1.628000e+01	 1.628000e+01	 4 C#:min
1.790800e+01	 1.790800e+01	 4 G#:7
1.953600e+01	 1.953600e+01	 5 C#:min
2.442000e+01	 2.442000e+01	 6 G#:7
2.930400e+01	 2.930400e+01	 7 C#:min
3.174600e+01	 3.174600e+01	 7 F#:min
3.418800e+01	 3.418800e+01	 8 E :maj
3.663000e+01	 3.663000e+01	 8 B :7
3.907200e+01	 3.907200e+01	 9 E :maj
4.395600e+01	 4.395600e+01	 10 E :min
4.884000e+01	 4.884000e+01	 11 G :7
5.372400e+01	 5.372400e+01	 12 C :maj
5.494500e+01	 5.494500e+01	 12 E :min
5.616600e+01	 5.616600e+01	 12 A#:減七°7
5.738700e+01	 5.738700e+01	 12 F#:7
5.860800e+01	 5.860800e+01	 13 B :min
6.105010e+01	 6.105010e+01	 13 C#:半減七?
6.349210e+01	 6.349210e+01	 14 B :min
6.634110e+01	 6.634110e+01	 14 F#:maj
6.837610e+01	 6.837610e+01	 15 B :min
7.122510e+01	 7.122510e+01	 15 B :maj
7.326010e+01	 7.326010e+01	 16 E :min
7.814410e+01	 7.814410e+01	 17 B :maj
8.302810e+01	 8.302810e+01	 18 E :min
8.791210e+01	 8.791210e+01	 19 B :maj
9.035410e+01	 9.035410e+01	 19 G#:減七°7
9.279610e+01	 9.279610e+01	 20 C#:7
9.523810e+01	 9.523810e+01	 20 F#:min
9.768010e+01	 9.768010e+01	 21 G :maj
1.001221e+02	 1.001221e+02	 21 C :減七°7
1.025641e+02	 1.025641e+02	 22 F#:min
1.058201e+02	 1.058201e+02	 22 C#:maj
1.074481e+02	 1.074481e+02	 23 F#:min
1.123321e+02	 1.123321e+02	 24 C#:7
1.172161e+02	 1.172161e+02	 25 F#:min
1.196581e+02	 1.196581e+02	 25 D#:減七°7
1.208791e+02	 1.208791e+02	 25 F#:min
